character,relic,weapon_type,crest,notes
Protagonist,Sword of the Creator,Sword,Crest of Flames,Reduced range and increased weight if not wielded by the Protagonist - the relic the game itself ties to Byleth specifically.
Edelgard,Aymr,Axe,Crest of Seiros,Enables the Raging Storm combat art for the Crest of Seiros.
Dimitri,Areadbhar,Lance,Crest of Blaiddyd,Enables the Atrocity combat art for the Crest of Blaiddyd.
Claude,Failnaught,Bow,Crest of Riegan,Enables the Falling Star combat art for the Crest of Riegan.
Catherine,Thunderbrand,Sword,Crest of Charon,Enables the Foudroyant combat art for the Crest of Charon.
Lysithea,Thunderbrand,Sword,Crest of Charon,Lysithea's second (minor) crest - shared with Catherine's own personal relic.
Sylvain,Lance of Ruin,Lance,Crest of Gautier,Enables the Ruined Sky combat art for the Crest of Gautier.
Ingrid,Luin,Lance,Crest of Daphnel,Enables the Fire Quake combat art for the Crest of Daphnel.
Hilda,Freikugel,Axe,Crest of Goneril,Enables the Apocalyptic Flame combat art for the Crest of Goneril.
Annette,Crusher,Axe,Crest of Dominic,Enables the Dust combat art for the Crest of Dominic.
Marianne,Blutgang,Sword,Crest of the Beast,Enables the Beast Fang combat art for the Crest of the Beast; deals magic-based damage.
Balthus,Vajra-Mushti,Brawling,Crest of Chevalier,"Cindered Shadows DLC. Enables the Eviscerate combat art for the Crest of Chevalier."
Lysithea,Thyrsus,Reason,Crest of Gloucester,Lysithea's first (minor) crest.
Lorenz,Thyrsus,Reason,Crest of Gloucester,Shared with Lysithea via the Crest of Gloucester.
