name,natural_proficiencies,top_rank
Protagonist,Sword,D+
Edelgard,Axe|Authority|Heavy Armour,D
Hubert,Reason,D
Dorothea,Reason,D
Ferdinand,Lance|Riding,D
Bernadetta,Bow,D
Caspar,Axe,D
Petra,Sword,D+
Linhardt,Faith,D+
Dimitri,Lance|Riding,D+
Dedue,Axe,D+
Felix,Sword,D
Mercedes,Faith,D
Ashe,Bow,D
Annette,Reason,D+
Sylvain,Lance|Axe|Riding,D
Ingrid,Lance|Riding|Flying,D
Claude,Bow|Authority,D
Lorenz,Lance|Riding,D
Hilda,Axe,D
Raphael,Brawling|Heavy Armour,D
Lysithea,Reason,D
Ignatz,Bow,D
Marianne,Faith,D+
Leonie,Lance,D+
Manuela,Faith,C
Hanneman,Reason,C
Seteth,Lance|Axe|Authority|Flying,C
Flayn,Faith,D+
Cyril,Axe,D+
Catherine,Sword,B
Alois,Axe|Authority|Heavy Armour,C
Gilbert,Lance|Axe|Riding,C
Shamir,Bow,B
Yuri,Sword|Faith|Authority,D
Balthus,Brawling,D+
Constance,Reason|Flying,D
Hapi,Reason|Riding,D
Jeritza,Lance,A
Anna,Sword,D
