name,HP,Str,Mag,Dex,Spd,Lck,Def,Res,Cha,Mov,tier
Noble,0,0,0,0,0,0,0,0,0,0,Unique
Commoner,0,0,0,0,0,0,0,0,0,0,Unique
Dancer,0,1,0,3,3,0,2,1,2,2,Unique
Enlightened One,1,2,3,1,1,1,2,2,1,2,Unique
Armored Lord,5,0,0,0,-3,0,5,0,2,1,Unique
High Lord,3,1,0,0,3,0,1,0,2,1,Unique
Wyvern Master,2,1,0,3,0,0,1,0,2,0,Unique
Emperor,8,0,0,0,-4,1,8,0,2,1,Unique
Great Lord,5,2,0,0,4,1,1,0,2,2,Unique
Barbarossa,3,3,0,5,0,0,2,0,2,2,Unique
Myrmidon,0,0,0,0,1,0,0,0,0,0,Beginner
Soldier,0,0,0,1,0,0,0,0,0,0,Beginner
Fighter,0,1,0,0,0,0,0,0,0,0,Beginner
Monk,0,0,0,0,0,0,0,1,0,0,Beginner
Lord,1,0,0,0,1,1,0,0,2,1,Intermediate
Lord (Judith),5,2,0,0,4,1,1,0,2,2,Intermediate
Mercenary,1,1,0,0,1,0,0,0,0,1,Intermediate
Thief,0,0,0,2,2,0,0,0,0,1,Intermediate
Armored Knight,3,0,0,0,-2,0,4,-1,0,0,Intermediate
Cavalier,1,1,0,2,1,0,1,0,0,0,Intermediate
Brigand,2,2,0,0,0,0,0,0,0,1,Intermediate
Archer,0,0,0,2,0,2,0,0,0,1,Intermediate
Brawler,1,0,0,2,2,0,0,-1,0,1,Intermediate
Mage,0,0,1,1,0,0,0,2,0,0,Intermediate
Dark Mage,0,0,2,1,0,0,0,1,0,0,Intermediate
Priest,0,0,0,1,0,0,0,3,0,0,Intermediate
Pegasus Knight,0,0,0,2,1,0,0,2,0,0,Intermediate
Hero,3,2,0,0,2,1,1,0,0,1,Advanced
Swordmaster,1,2,0,1,4,0,1,0,0,1,Advanced
Assassin,0,0,0,3,5,1,0,0,0,2,Advanced
Fortress Knight,5,0,0,0,-6,0,10,0,0,0,Advanced
Fortress Knight (Chapter 5 Gilbert),5,0,0,0,-6,0,2,0,0,0,Advanced
Paladin,2,2,0,2,1,0,2,2,0,2,Advanced
Paladin (Prologue Jeralt),3,0,0,1,1,0,2,2,0,2,Advanced
Pegasus Knight (enemy only),0,0,0,3,2,0,0,3,0,1,Advanced
Wyvern Rider,1,2,0,1,1,0,2,0,0,1,Advanced
Warrior,3,3,0,0,1,1,1,0,0,1,Advanced
Sniper,0,1,0,5,0,3,0,0,0,1,Advanced
Grappler,2,1,0,3,3,0,1,-1,0,2,Advanced
Warlock,0,0,3,1,1,0,0,4,0,0,Advanced
Dark Bishop,0,0,4,2,0,0,0,3,0,0,Advanced
Bishop,1,0,2,1,0,0,0,5,0,0,Advanced
Falcon Knight,0,0,0,4,3,0,0,4,0,2,Master
Wyvern Lord,2,2,0,1,2,0,3,0,0,2,Master
Mortal Savant,1,1,2,1,1,0,2,2,0,2,Master
Great Knight,5,1,0,0,-2,0,6,0,0,0,Master
Bow Knight,2,1,0,3,3,1,1,0,0,2,Master
Dark Knight,1,1,2,2,1,0,1,3,0,2,Master
